designation,ra,ra_error,dec,dec_error,l,b
"Gaia DR2 3206844134787636096",79.4314817038767,0.27064543416639175,-7.8350756773388115,0.25763675746042086,209.26343665354472,-24.375390572839187
"Gaia DR2 3206750332701720448",80.06650167678971,0.31832064811508326,-8.403880266091447,0.3251412415548269,210.12716103117256,-24.061915528225374
"Gaia DR2 3206773151864879360",79.7764152741706,0.04943390269666636,-8.154415776735247,0.045621637100149146,209.74332314099385,-24.210038697912967
"Gaia DR2 3206826615617601024",79.59693318379247,0.03114808464550881,-7.979339885299553,0.029511170316936036,209.48500255495992,-24.29225249465624
"Gaia DR2 3206754357086227840",79.98013454469951,0.720078365584632,-8.349589382277406,0.7070355952106377,210.0326373391193,-24.114850542364557
"Gaia DR2 3206756246873598464",79.94286728171409,0.12786749042147472,-8.27530477057478,0.12946853684331902,209.94177498782255,-24.1153271341987
"Gaia DR2 3206768753818369664",79.85686656214547,0.08774767299833575,-8.234574955052176,0.08529783877297975,209.8606620428157,-24.17384274242306
"Gaia DR2 3206842970853060480",79.5070717175126,0.11496002000348704,-7.8592426414014565,0.10327560567394967,209.3236193408418,-24.31895457577369
"Gaia DR2 3206771738819046016",79.71860902698387,0.08777060610603557,-8.178520914858158,0.08125646910235665,209.73940711906994,-24.27202614281583
"Gaia DR2 3206825138148851840",79.62627608699664,0.26160808791684476,-8.012069565173531,0.24772952074676585,209.53129952438323,-24.280643755446704
"Gaia DR2 3206844134787636608",79.43549597872884,0.18621015059149004,-7.830018416703867,0.1696719640284114,209.26039314005644,-24.369584931596997
"Gaia DR2 3206772219855382528",79.7803909439401,0.026987077670929692,-8.181436925152687,0.026002694274896404,209.77182188732326,-24.218409934333167
"Gaia DR2 3206767585587265024",79.90782090170859,0.017579215880776378,-8.280242653466075,0.01585321997001941,209.9299236090887,-24.1486467108745
"Gaia DR2 3206844066068160000",79.46357811486442,0.19523399432053934,-7.827630251756755,0.17818761928084362,209.27157134690557,-24.343585355144757
"Gaia DR2 3206839569238963200",79.53567409758512,0.3150836736277588,-7.902352264105042,0.30752489830960306,209.37980021648636,-24.312628703941915
"Gaia DR2 3206825687904657792",79.67352623412538,0.06374970036674717,-7.973931225647539,0.05902617933357212,209.51644434519744,-24.221817788321584
"Gaia DR2 3206772327231159552",79.79670816494519,0.06850658151425992,-8.17810225391838,0.05918317196529496,209.77633949777717,-24.20244104932882
"Gaia DR2 3206839500519486592",79.55388047640824,0.03764364827749748,-7.920486963364465,0.035430305973804706,209.40639966758104,-24.30447859409964
"Gaia DR2 3206773151864880512",79.77029103363347,0.06805728140172203,-8.156175983551979,0.06573325330263784,209.74212676076516,-24.216256361025334
"Gaia DR2 3206818575437288448",79.67889168519963,28.726466374487057,-8.19117716463105,13.011235537523772,209.732873110869,-24.31289431500431
"Gaia DR2 3206844169147375488",79.44254100542362,0.0891155606910759,-7.819710899155938,0.0797330611216388,209.2536433855826,-24.358761269585543
"Gaia DR2 3206772052353252352",79.81323805764349,0.8837929531863481,-8.190175629983845,0.9282197977617784,209.79612312374246,-24.193069199115147
"Gaia DR2 3206844169147375616",79.43446234738369,0.11503877526607285,-7.819512017093075,0.11437065367850412,209.2495549374301,-24.365848233483177
"Gaia DR2 3206769028696275584",79.84533744144179,0.45889810070050974,-8.217779756217984,0.4217982525341932,209.83862640235466,-24.176696794770535
"Gaia DR2 3206822389369775744",79.7138337898032,0.02295241363818186,-8.02435118188398,0.021533443891654274,209.5853747222838,-24.20827691914438
"Gaia DR2 3206755594038570624",79.96042488802973,0.034498041891994694,-8.297597197433724,0.032585416737083095,209.97208028936552,-24.109523163236393
"Gaia DR2 3206747274687254784",79.83415128796268,0.3114259248108341,-8.427173868025601,0.26397401072336296,210.03954286887233,-24.27867132407391
"Gaia DR2 3206772426013814144",79.85481324633794,0.1184326254579602,-8.178207502170295,0.11120469781214311,209.8042103555108,-24.150852294624475
"Gaia DR2 3206755868916477824",79.93266815238762,0.0771590870314613,-8.277264751245076,0.0723983647557058,209.93884095031046,-24.1252537345585
"Gaia DR2 3206755589741733376",79.94774169396342,0.3452629513028682,-8.30059815533909,0.3124805374716673,209.96898913373798,-24.12211512905095
"Gaia DR2 3206826718696809472",79.63941839429486,0.77590378303645,-7.949847265337955,0.5468980856007862,209.47638144764937,-24.241474705888578
"Gaia DR2 3206767585587264000",79.91261906295716,0.08302715826006547,-8.277778558020884,0.07510785021210142,209.92978648432995,-24.143298710197556
"Gaia DR2 3206844100427899392",79.47850489991752,0.048461536717807514,-7.807754593452189,0.0467166615727969,209.2592062441852,-24.32152204285097
"Gaia DR2 3206839569238962304",79.54146243619596,0.05826060643861873,-7.896589172711277,0.05377981839556475,209.37691277507045,-24.304937101622084
"Gaia DR2 3206771880552801024",79.81185572266585,3.859981160174977,-8.21815102357028,7.8684859160886464,209.8230005445936,-24.206614917564938
"Gaia DR2 3206826787416286464",79.62868865210103,0.38321352344026083,-7.942430309359417,0.34958297751512435,209.46393281014107,-24.247727749274336
"Gaia DR2 3206839775397392768",79.5277368179445,0.07916506198481744,-7.89002400976665,0.07356811635483657,209.36385112231855,-24.314224022546174
"Gaia DR2 3206822389369774592",79.72050477421824,0.08199839391098386,-8.017526291390025,0.07591814541249667,209.58185865119353,-24.199336563131745
"Gaia DR2 3206748756450789376",79.93995242277136,0.029852213426719995,-8.488738061624739,0.026480578227812343,210.15056328403048,-24.211628447597384
"Gaia DR2 3206843967285474816",79.45527762881477,0.21832763860622548,-7.833376933046635,0.206603035908631,209.27322816825534,-24.35350327153629
"Gaia DR2 3206843142651754112",79.46782146921029,0.2176926948763689,-7.846501709346599,0.20054324657488426,209.29218580090495,-24.34817519497477
"Gaia DR2 3206826718696810752",79.63357003656522,0.05082820511463099,-7.955205520278595,0.045508162576651266,209.478844740542,-24.249038757405778
"Gaia DR2 3206825378667014144",79.69399613414319,0.24971640130975323,-8.009057082652705,0.23882322334104972,209.5608178924137,-24.219148472693284
"Gaia DR2 3206838366648122368",79.58716812026333,0.04518232454768488,-7.965150883666448,0.04065001984813215,209.4663486987313,-24.294656624423485
"Gaia DR2 3206825790982321920",79.56475513120473,27.76883693976277,-8.02797392316466,28.912440095046662,209.51743450403825,-24.342323957339474
"Gaia DR2 3206839809757134464",79.511063900364,0.07154072969778796,-7.902391993599464,0.0650156776228602,209.3680030582847,-24.334506846631353
"Gaia DR2 3206822041476101888",79.7499573607574,0.532509380905676,-8.053749353853519,0.47249315541932974,209.63160456749094,-24.189157871541166
"Gaia DR2 3206843932925737728",79.44977971052583,1.667990387484082,-7.839167033783264,1.6152520763139233,209.27627820551118,-24.360951095391187
"Gaia DR2 3206821289858323072",79.75848705663641,0.022392064735125092,-8.058492037415427,0.02108215694914751,209.6403554957974,-24.18367192894689
"Gaia DR2 3206773353726780416",79.75949412874881,0.21113345838540298,-8.144049371566423,0.1986967778169988,209.72502620337278,-24.220506652903698
"Gaia DR2 3206825584825445760",79.66804970803216,5.018536395984626,-8.001433408911247,3.5784895557969585,209.54087333505421,-24.23883320349287
"Gaia DR2 3206826409459166336",79.65049360475564,0.23245708751609473,-7.977274058099094,0.2134701476693514,209.50868009257235,-24.2437571458102
"Gaia DR2 3206821083699895680",79.75027990576672,0.019655669190873498,-8.078286042876869,0.018382527801548768,209.65589871517327,-24.199697268273482
"Gaia DR2 3206821186779110528",79.7605190575348,0.0254410857489269,-8.082641788292495,0.02477774536180341,209.66508681875544,-24.19252080334126
"Gaia DR2 3206818914739842816",79.64173606929472,0.468568306442492,-8.158280434610537,0.4023561233727648,209.68268233744934,-24.331415549396866
"Gaia DR2 3206842764694634240",79.48939688399884,0.017421743419511217,-7.885212406021154,0.0160004614988145,209.34067015043345,-24.346150077347367
"Gaia DR2 3206822355010038528",79.70516096049808,0.03925348416862684,-8.022461574986602,0.03749804895230084,209.57935828801706,-24.21514814594627
"Gaia DR2 3206825859703361920",79.59822553763401,0.032414537569355535,-8.017896257119853,0.028427618203360545,209.52357524003665,-24.308137781881996
"Gaia DR2 3206753253279689088",79.8484891904598,3.8976368922812363,-8.396761603908113,5.578450016745556,210.01639817374215,-24.252577691527566
"Gaia DR2 3206822080132307328",79.73004886428124,0.03001199206997232,-8.045042086164889,0.027936544419224385,209.6135010652514,-24.20300386963915
"Gaia DR2 3206837988691003264",79.57259261002237,0.03118236212539118,-7.97781166900642,0.02807260455853964,209.47181017993285,-24.313200628985705
"Gaia DR2 3206818914739841920",79.64967683471872,0.26016975701002737,-8.159476143402236,0.22836674278476216,209.68766207834287,-24.324886677756936
"Gaia DR2 3206772529093033344",79.87141738412687,0.2558358342754409,-8.173435565314213,0.24864864357167013,209.80744793096264,-24.133995111015988
"Gaia DR2 3206842386737512960",79.48664124157156,0.025271197596628797,-7.88959881573933,0.023559628811784254,209.34366154662797,-24.35053912545479
"Gaia DR2 3206773804699282816",79.79100246999653,2.515163407829249,-8.122278831961552,2.216535120431126,209.71867452235477,-24.182912798519798
